order_item_id,order_id,product_id,quantity,unit_price
1,1,2,1,32000.0
2,2,8,1,1200.0
3,2,5,5,9000.0
4,2,5,5,9000.0
5,2,2,3,32000.0
6,3,3,3,27500.0
7,3,2,2,32000.0
8,3,4,3,12000.0
9,4,8,3,1200.0
10,4,5,3,9000.0
11,4,7,4,4000.0
12,4,4,3,12000.0
13,5,3,1,27500.0
14,5,2,1,32000.0
15,6,3,1,27500.0
16,6,2,2,32000.0
17,6,6,3,15000.0
18,6,4,4,12000.0
19,7,4,4,12000.0
20,7,1,2,18000.0
21,7,3,2,27500.0
22,8,7,2,4000.0
23,8,8,4,1200.0
24,8,7,3,4000.0
25,9,6,5,15000.0
26,9,3,1,27500.0
27,9,3,2,27500.0
28,9,7,1,4000.0
29,10,4,5,12000.0
30,10,8,3,1200.0
31,11,6,3,15000.0
32,12,8,5,1200.0
33,13,7,5,4000.0
34,13,4,4,12000.0
35,13,1,2,18000.0
36,14,1,2,18000.0
37,14,6,1,15000.0
38,14,7,5,4000.0
39,14,2,2,32000.0
40,15,6,5,15000.0
41,15,4,4,12000.0
42,16,5,4,9000.0
43,16,5,1,9000.0
44,17,4,4,12000.0
45,17,1,2,18000.0
46,17,1,1,18000.0
47,17,5,5,9000.0
48,18,1,2,18000.0
49,18,4,5,12000.0
50,18,5,1,9000.0
51,19,3,3,27500.0
52,19,4,1,12000.0
53,19,7,1,4000.0
54,20,5,2,9000.0
55,20,5,3,9000.0
56,21,6,1,15000.0
57,21,5,3,9000.0
58,22,2,1,32000.0
59,22,4,1,12000.0
60,23,6,1,15000.0
61,23,8,5,1200.0
62,23,2,2,32000.0
63,23,5,1,9000.0
64,24,5,1,9000.0
65,24,2,1,32000.0
66,25,8,3,1200.0
67,25,1,2,18000.0
68,26,4,2,12000.0
69,26,4,5,12000.0
70,26,8,5,1200.0
71,26,2,3,32000.0
72,27,6,3,15000.0
73,27,4,1,12000.0
74,27,1,2,18000.0
75,27,4,1,12000.0
76,28,6,4,15000.0
77,28,1,2,18000.0
78,28,8,1,1200.0
79,29,3,2,27500.0
80,30,2,3,32000.0
81,30,1,3,18000.0
82,30,6,2,15000.0
83,31,1,2,18000.0
84,32,5,3,9000.0
85,32,7,1,4000.0
86,33,7,1,4000.0
87,33,1,2,18000.0
88,33,6,2,15000.0
89,34,6,1,15000.0
90,35,3,3,27500.0
91,36,5,5,9000.0
92,36,2,3,32000.0
93,36,5,5,9000.0
94,37,5,4,9000.0
95,38,2,1,32000.0
96,38,1,1,18000.0
97,39,2,2,32000.0
98,39,3,3,27500.0
99,39,4,1,12000.0
100,39,6,2,15000.0
101,40,8,2,1200.0
102,41,7,1,4000.0
103,41,5,5,9000.0
104,42,7,2,4000.0
105,43,6,2,15000.0
106,43,7,5,4000.0
107,43,7,5,4000.0
108,44,7,3,4000.0
109,45,7,5,4000.0
110,46,4,2,12000.0
111,47,2,3,32000.0
112,48,1,3,18000.0
113,49,4,4,12000.0
114,49,3,1,27500.0
115,49,2,2,32000.0
116,50,8,2,1200.0
117,50,3,1,27500.0
118,50,7,3,4000.0
119,51,7,1,4000.0
120,51,5,1,9000.0
121,51,7,4,4000.0
122,52,4,4,12000.0
123,52,2,2,32000.0
124,52,3,2,27500.0
125,53,2,3,32000.0
126,53,8,3,1200.0
127,53,5,2,9000.0
128,53,8,2,1200.0
129,54,3,2,27500.0
130,54,4,4,12000.0
131,54,3,1,27500.0
132,55,3,1,27500.0
133,55,5,3,9000.0
134,56,7,1,4000.0
135,56,2,3,32000.0
136,56,2,1,32000.0
137,57,8,5,1200.0
138,57,1,1,18000.0
139,58,1,2,18000.0
140,58,4,2,12000.0
141,58,2,3,32000.0
142,59,4,4,12000.0
143,59,6,1,15000.0
144,59,7,4,4000.0
145,60,6,4,15000.0
146,60,4,5,12000.0
147,60,6,4,15000.0
148,61,2,3,32000.0
149,62,8,4,1200.0
150,62,2,1,32000.0
151,63,4,2,12000.0
152,63,6,1,15000.0
153,64,2,2,32000.0
154,64,8,2,1200.0
155,64,2,2,32000.0
156,64,4,5,12000.0
157,65,1,2,18000.0
158,65,5,5,9000.0
159,66,7,3,4000.0
160,66,2,1,32000.0
161,67,1,2,18000.0
162,67,6,3,15000.0
163,67,8,5,1200.0
164,68,5,2,9000.0
165,69,4,2,12000.0
166,69,4,2,12000.0
167,70,3,1,27500.0
168,70,2,3,32000.0
169,71,7,2,4000.0
170,71,2,1,32000.0
171,71,8,4,1200.0
172,72,7,1,4000.0
173,72,2,1,32000.0
174,73,4,2,12000.0
175,73,5,5,9000.0
176,73,6,4,15000.0
177,73,3,3,27500.0
178,74,3,3,27500.0
179,74,8,3,1200.0
180,74,6,3,15000.0
181,74,4,1,12000.0
182,75,2,3,32000.0
183,75,2,3,32000.0
184,75,3,1,27500.0
185,75,4,5,12000.0
